X1,X2,Y
1.63,0.755,-1.59
0.294,-0.00141,0.719
0.768,1.25,0.529
-0.341,-0.547,0.559
-0.633,-0.735,1.49
0.395,-0.756,-1.12
-0.818,1.97,2.4
-1.36,-0.33,0.699
-0.302,-1.61,-0.465
1.6,0.949,-1.06
-0.392,0.025,0.327
0.221,-0.356,-1.81
-0.594,0.517,1.67
-2.05,0.887,2.75
0.000427,-0.637,1.65
1.69,0.111,-1.4
-0.332,-0.311,1.04
-1.15,-0.578,-0.00131
-0.991,0.476,2.85
0.364,0.721,2.01
-0.42,-1.37,0.039
0.984,1.11,-1.68
-0.276,0.149,1.28
-2.09,-0.236,0.95
-0.439,-1.59,0.593
0.712,-0.257,-0.847
1.03,-0.0696,-0.2
1.28,0.104,-3.25
1,-0.437,-0.877
1.07,0.926,-0.811
1.89,1.57,-3.67
1.53,1.24,-1.69
0.176,-0.231,0.454
-0.476,0.336,-0.8
-0.28,0.407,-0.0203
0.703,-0.622,-0.506
1.21,-0.0115,-1.73
-0.248,-0.59,1.82
1.51,0.0688,-0.743
-0.725,1.61,0.146
-0.465,-0.187,0.797
-0.387,-0.731,1.52
-0.662,1.38,0.91
0.87,0.873,-0.313
-0.187,-0.525,0.83
1.85,-0.737,-1.11
-0.00613,1.41,-1.32
1.87,0.0314,-2.54
-2.43,0.185,2.08
0.362,0.349,-1.96
